FRAUD,FRAUD_SCORE
NO,6.821868052467863
NO,7.154282997673547
NO,35.087288886011365
YES,92.81523320124548
NO,13.064549677809367
NO,36.3649754443383
NO,19.16400005038836
NO,2.2596650594608065
NO,14.81121963478141
NO,15.110266111525553
NO,23.047259718424534
NO,4.913367190894671
NO,9.068442753252633
NO,10.1416200119495
NO,25.405920278106088
NO,29.16878005654675
NO,8.76393305049938
NO,3.276734318761255
NO,2.0156096822402105
NO,27.13672565523794
NO,11.643262615524012
NO,9.21834249410676
NO,33.84131512867528
NO,9.040278359561723
NO,10.092121876794858
NO,11.283777007357312
NO,17.92786913973511
NO,12.999289059229543
NO,3.7342649430160177
NO,17.494522733491017
NO,21.10894554964464
NO,3.789743963447333
NO,19.25784808973323
NO,9.037413160449164
NO,9.142335729025351
NO,2.773567068449037
NO,12.622979694221764
NO,13.288693232400355
NO,0.3938978047009816
NO,3.372947784931583
NO,4.282310021044408
NO,14.61108608436852
NO,11.45931343173132
NO,25.0637412983474
NO,24.879055751253382
NO,11.390966999703927
NO,1.1334690464537829
NO,23.6723198976744
NO,26.517540708470047
NO,16.155053279316114
NO,6.510455187859408
NO,19.197062410535786
NO,17.77419568513313
NO,28.071522800506933
NO,11.976351768654023
NO,10.736430937926007
NO,32.42454057171942
NO,6.09058421007823
NO,29.77018451722031
NO,21.649956253697265
NO,16.150104198575402
NO,32.7216555018251
NO,31.72408869712483
NO,12.666658469741174
NO,11.969872717277326
NO,1.3458862472463549
NO,18.545801316585603
NO,31.02831754440388
NO,22.76182158640903
NO,15.659842108638252
NO,24.70945723589297
NO,6.0937057778606025
NO,0.8446917595180745
NO,10.478654253315977
NO,8.373783266091943
NO,3.212681244345936
NO,5.44708279334571
NO,26.46170695050586
NO,26.576266340149424
YES,75.37863373217598
NO,6.769235943037916
NO,6.411635175280343
NO,9.233049685972656
NO,14.69561613440974
NO,10.86975826292676
NO,29.028260940907657
NO,4.771312192033801
NO,15.066706213047045
NO,7.121315688925946
NO,1.1010566815020315
NO,12.761377239883153
NO,11.253488953265652
NO,3.7132697765035343
NO,11.769112126639945
NO,2.5004935642117547
NO,99.96550525511302
NO,17.240658233209892
NO,27.460314102337662
NO,3.9620442790033
NO,22.789479325694582
NO,20.196258162855784
NO,32.87364888456138
NO,3.602114756105195
NO,7.733868970457332
NO,32.66672690429438
NO,3.509025472402973
NO,13.994899718491691
NO,14.33877012704096
NO,12.724226423810055
NO,13.644587271263966
NO,14.864226763152082
NO,26.004764539898673
NO,18.90597948127527
NO,5.205549787772188
NO,4.436507142801701
NO,0.9979479129882632
NO,10.596145896000358
NO,16.243965866923663
NO,24.490190522395597
NO,25.659604327866703
NO,31.29017343642479
NO,16.349370821005447
NO,5.118590981961453
NO,27.753789853879915
NO,16.126060939911277
NO,12.908898114311317
NO,5.690084044441952
NO,33.55934569457365
NO,14.624930173014638
NO,10.648051453602914
NO,4.5509500705087795
NO,1.453361108747663
NO,11.610872645199713
NO,21.14528989697593
NO,25.65581321213251
NO,5.080579171476428
NO,1.1251563574858603
NO,3.4218664872237725
NO,1.3000074274743652
NO,0.6203866434597688
NO,9.087537180922254
NO,21.14079845109238
NO,21.9226539844645
NO,3.740169641841802
NO,9.22828770718607
NO,16.129739748926756
NO,17.254927267648323
NO,3.2977513720800458
NO,1.9656610322728292
NO,4.1747008853341585
NO,26.600209077812597
NO,3.042348806936524
NO,23.907374884470652
NO,0.3494923353515632
NO,0.9304411251487532
NO,13.63074820764809
NO,8.32365490556638
NO,30.31758044819285
NO,27.918376161071137
NO,2.241531242594844
NO,11.502642314806572
NO,2.306960317153615
NO,20.09041300499107
NO,18.911044795915263
NO,2.6691714243317888
NO,26.420358830979307
NO,26.74628156595847
NO,24.878567305311925
NO,0.9872969653839492
NO,10.440778122885948
NO,32.41884316799893
NO,2.766862786342367
NO,9.851642133976416
NO,18.840483016639084
NO,1.5786477266829666
NO,91.2682150348006
NO,11.62813340818714
NO,21.102566097495476
NO,20.38015872906194
NO,5.286976750978011
NO,16.871141175782572
NO,22.600660159352977
NO,20.437379102718378
NO,8.925807716688215
NO,19.628154955918617
NO,8.655116839154052
NO,26.76029082098731
NO,11.277752559394775
NO,28.01302933687104
NO,2.332713099166442
NO,11.999733007406544
NO,20.46013971719099
NO,14.639440324797944
NO,7.253042529104717
NO,6.696645239537439
NO,31.4514671255382
NO,10.758562645769716
NO,11.0332297133676
NO,21.939536866708515
NO,7.291586708386633
NO,3.3772064702504867
NO,9.024666440557816
NO,15.458264008322129
NO,8.670349393862912
NO,20.784605836997105
YES,99.97300825986768
NO,14.62226415298484
YES,97.28438798775652
NO,22.464397779913796
NO,6.759302083973253
NO,29.837619251160117
NO,28.560411748641208
NO,11.64626529985012
NO,21.189480102304156
NO,2.598855115233618
NO,2.4453970516222694
NO,9.78987951430594
NO,0.7802319923720344
NO,2.457936347648839
NO,3.770277178910238
NO,0.9460099534009854
NO,1.023132034757699
NO,3.2044572487314764
NO,33.42838164660653
NO,10.50211639164944
NO,5.602892246418442
NO,12.6660514176457
NO,2.966429130762051
NO,1.355139501507915
NO,25.0092485404692
NO,3.7867598565537457
NO,2.2979638814673073
NO,4.454849281515095
NO,22.662567504661236
NO,6.904089941319571
NO,20.96863619747878
NO,1.837881572576441
NO,17.788533142472613
NO,11.654615691270966
NO,11.886966716751362
NO,20.10591839881383
NO,7.320308380985888
NO,18.61794376731081
NO,22.961732604087008
NO,7.965614485625096
NO,4.818492479064061
NO,3.9423489301436936
NO,18.642385793545422
NO,22.543935689517344
NO,25.239414033765456
NO,4.523507413592511
NO,1.4043959353659738
NO,27.16726544012893
NO,15.175803219663615
NO,17.53247665078296
YES,97.86664789702772
NO,15.97597115732835
NO,2.743405572087082
NO,8.185899987693542
NO,18.04553257309523
NO,0.0076821046155166
NO,1.957054460601628
NO,2.754035794412663
YES,94.07088649152308
NO,16.946866265466184
NO,26.760528991608258
NO,5.075254736631402
NO,14.412817781562076
NO,27.405679407128588
NO,20.647310850669864
NO,6.775165603436938
NO,9.759405701766218
NO,11.127354986037762
NO,12.923634538100456
NO,17.119190220746166
NO,7.283111723944228
NO,1.236361703176612
NO,7.825069765342154
NO,0.7150556055040248
NO,24.084231612379103
NO,2.665995949938522
NO,32.45116494838894
NO,6.982723086203796
YES,77.5306447883424
NO,39.47426694862821
YES,77.69781546882334
NO,5.985956212606144
NO,9.609516557844923
NO,3.24517519803617
NO,4.902169006862615
NO,10.06265631271306
NO,28.596491876799828
NO,11.74781361079376
NO,7.096202126572604
NO,0.4875393854722373
NO,0.3716802996309109
NO,13.607364816134602
NO,8.616081302372901
YES,90.50253635026226
NO,2.7023475904130736
NO,18.74478841421829
NO,36.08743598145545
NO,34.73773396903345
NO,5.9467466735713845
NO,4.990834930089164
NO,7.299865102689504
NO,16.98296679625415
NO,19.215246648170844
NO,1.8897753398894663
NO,17.237963729091067
NO,5.94039709987007
NO,27.754780947242015
NO,0.4870738698242665
NO,22.20792521803122
NO,7.06559701290454
YES,11.960127046432431
NO,8.427132286019445
NO,11.715506319067346
NO,28.37908898760074
NO,15.94165895461099
NO,23.150036049489273
NO,4.696500181390016
NO,21.6086455601805
NO,0.4534725698821101
NO,4.043925486489366
NO,8.502146684316337
NO,0.391124832291882
NO,13.819454287846025
NO,5.275644331463154
NO,28.44795273050696
NO,16.135516464552676
NO,15.503618367413331
NO,0.1077813544922877
NO,14.037432408354167
NO,0.8565115258654481
